HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB03529	Endogenous	C6H17O21P5	579.8950402	580.9023168	0.902316766	y
HMDB01364	Endogenous	C10H17N5O16P4	586.9620756	587.9693522	0.969352169	y
HMDB38053	Food	Ca3H6O18P6	599.6857559	600.6930325	0.693032525	y
HMDB00693	Endogenous	C14H23NO21S3	636.9924689	637.9997455	0.999745473	y
HMDB04249	Endogenous	C12H24O22P4	643.9709685	644.9782451	0.9782451	y
HMDB00265	Endogenous	C15H12I3NO4	650.7900381	651.7973147	0.797314737	y
HMDB03502	Endogenous	C6H18O24P6	659.8613706	660.8686472	0.868647176	y
HMDB06803	Endogenous	C3H2O	54.01056469	55.01784129	0.017841286	n
HMDB01659	Endogenous	C3H6O	58.04186481	59.04914141	0.049141414	n
HMDB03366	Endogenous	C3H6O	58.04186481	59.04914141	0.049141414	n
HMDB31558	Endogenous	C3H6O	58.04186481	59.04914141	0.049141414	n
HMDB31652	Endogenous	C3H6O	58.04186481	59.04914141	0.049141414	n
HMDB01122	Endogenous	C2H5NO	59.03711379	60.04439039	0.044390387	n
HMDB03656	Endogenous	C2H5NO	59.03711379	60.04439039	0.044390387	n
HMDB31645	Endogenous	C2H5NO	59.03711379	60.04439039	0.044390387	n
HMDB01842	Endogenous	CH5N3	59.04834718	60.05562378	0.055623775	n
HMDB00906	Food	C3H9N	59.07349929	60.08077589	0.080775893	n
HMDB34006	Food	C3H9N	59.07349929	60.08077589	0.080775893	n
HMDB03344	Endogenous	C2H4O2	60.02112937	61.02840597	0.028405972	n
HMDB00294	Endogenous	CH4N2O	60.03236276	61.03963936	0.03963936	n
HMDB00820	Endogenous	C3H8O	60.05751488	61.06479148	0.064791478	n
HMDB00863	Endogenous	C3H8O	60.05751488	61.06479148	0.064791478	n
HMDB03551	Endogenous	CH3NO2	61.01637835	62.02365495	0.023654945	n
HMDB00149	Endogenous	C2H7NO	61.05276385	62.06004045	0.060040451	n
HMDB03538	Endogenous	CH2O3	62.00039393	63.00767053	0.00767053	n
HMDB35731	Food	BH3O3	62.01752443	63.02480103	0.024801028	n
HMDB31430	Endogenous	C2H6O2	62.03677944	63.04405604	0.044056036	n
HMDB32262	Endogenous	C2H6O2	62.03677944	63.04405604	0.044056036	n
HMDB31323	Endogenous	C4H5N	67.04219917	68.04947577	0.049475765	n
HMDB35924	Food	C4H5N	67.04219917	68.04947577	0.049475765	n
HMDB06853	Endogenous	C4H4O	68.02621475	69.03349135	0.03349135	n
HMDB13785	Endogenous	C4H4O	68.02621475	69.03349135	0.03349135	n
HMDB12497	Endogenous	C4H7N	69.05784923	70.06512583	0.065125829	n
HMDB06804	Endogenous	C3H2O2	70.00547931	71.01275591	0.012755908	n
HMDB04101	Endogenous	C3H6N2	70.0530982	71.0603748	0.060374802	n
HMDB04296	Endogenous	C3H5NO	71.03711379	72.04439039	0.044390387	n
HMDB31641	Endogenous	C4H9N	71.07349929	72.08077589	0.080775893	n
HMDB01167	Endogenous	C3H4O2	72.02112937	73.02840597	0.028405972	n
HMDB06112	Endogenous	C3H4O2	72.02112937	73.02840597	0.028405972	n
HMDB31647	Endogenous	C3H4O2	72.02112937	73.02840597	0.028405972	n
HMDB00246	Endogenous	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB00474	Endogenous	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB03543	Endogenous	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB31243	Endogenous	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB31324	Endogenous	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB33858	Food	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB34431	Food	C4H8O	72.05751488	73.06479148	0.064791478	n
HMDB29603	Endogenous	C5H12	72.09390038	73.10117698	0.101176984	n
HMDB34106	Food	C2H3NS	72.99861979	74.00589639	0.005896391	n
HMDB01106	Endogenous	C3H7NO	73.05276385	74.06004045	0.060040451	n
HMDB02134	Endogenous	C3H7NO	73.05276385	74.06004045	0.060040451	n
HMDB01522	Endogenous	C2H7N3	73.06399724	74.07127384	0.071273839	n
HMDB31321	Endogenous	C4H11N	73.08914936	74.09642596	0.096425957	n
HMDB32179	Endogenous	C4H11N	73.08914936	74.09642596	0.096425957	n
HMDB41878	Endogenous	C4H11N	73.08914936	74.09642596	0.096425957	n
HMDB34198	Food	C4H11N	73.08914936	74.09642596	0.096425957	n
