"...1","mz","mzmin","mzmax","MD"
"CP073",281.051635742188,281.041534423828,281.059234619141,0.0516357421880116
"CP074",281.137420654297,281.129821777344,281.144989013672,0.137420654296989
"CP075",283.11474609375,283.1044921875,283.122406005859,0.11474609375
"CP076",283.153045654297,283.145385742188,283.160705566406,0.153045654296989
"CP077",285.130889892578,285.120574951172,285.138641357422,0.130889892578011
"CP078",285.27783203125,285.267486572266,285.285583496094,0.27783203125
"CP079",286.310516357422,286.300109863281,286.318298339844,0.310516357421989
"CP080",287.314270019531,287.303802490234,287.322113037109,0.314270019531023
"CP081",289.1533203125,289.142761230469,289.161224365234,0.1533203125
"CP082",295.115936279297,295.105072021484,295.124114990234,0.115936279296989
"CP083",297.1318359375,297.063201904297,297.197937011719,0.1318359375
"CP084",297.241455078125,297.230438232422,297.249694824219,0.241455078125
"CP085",299.063171386719,299.052062988281,299.074279785156,0.0631713867189774
"CP086",299.182464599609,299.174133300781,299.190826416016,0.182464599608977
"CP087",301.140106201172,301.120452880859,301.156951904297,0.140106201171989
"CP088",309.131744384766,309.122985839844,309.140502929688,0.131744384766023
"CP089",309.204711914062,309.151184082031,310.141296386719,0.204711914061988
"CP090",311.146331787109,311.137481689453,311.155151367188,0.146331787108977
"CP091",313.162506103516,313.153564453125,313.171417236328,0.162506103516023
"CP092",313.213653564453,313.201751708984,313.222595214844,0.213653564453011
"CP093",313.273132324219,313.261199951172,313.282043457031,0.273132324218977
"CP094",315.176544189453,315.130096435547,315.225158691406,0.176544189453011
"CP095",315.231140136719,315.217376708984,315.240173339844,0.231140136718977
"CP096",323.145812988281,323.136444091797,323.155151367188,0.145812988281023
"CP097",325.163604736328,325.154144287109,325.173034667969,0.163604736328011
"CP098",325.236022949219,325.223419189453,325.245452880859,0.236022949218977
"CP099",326.240051269531,326.227386474609,326.249542236328,0.240051269531023
"CP100",327.176177978516,327.13818359375,327.219940185547,0.176177978516023
"CP101",329.157135009766,329.144317626953,329.166748046875,0.157135009766023
"CP102",329.210998535156,329.196014404297,329.220611572266,0.210998535156023
"CP103",331.209442138672,331.190032958984,331.225616455078,0.209442138671989
"CP104",333.166809082031,333.157012939453,333.176574707031,0.166809082031023
"CP105",337.161560058594,337.109130859375,337.215484619141,0.161560058593977
"CP106",339.141937255859,339.131866455078,339.152008056641,0.141937255858977
"CP107",339.213897705078,339.138580322266,339.289794921875,0.213897705078011
